Plot,Loc,Entry,Trial,Rep,SubBlock,Range,Booting,Heading,Maturity,Height,GrainYield,TGW,SpikeLength,LeafLength,LeafWidth,GroundCover,NDVI_B,NDVI_H,NDVI_M
1,BMZLDH_2017,1001,1,1,1,1,88,117,158,107.8,6.376,44.4,11.2,31.67,2,75,0.74,0.76,0.43
2,BMZLDH_2017,1002,1,1,1,1,95,122,159,115.7,6.178,39.1,11.2,19.4,2,70,0.79,0.82,NA
3,BMZLDH_2017,1003,1,1,1,1,85,111,157,107.3,8.029,47,10.8,26.97,1.97,90,0.79,0.78,0.43
4,BMZLDH_2017,1004,1,1,1,1,98,122,158,109.5,6.163,35,10,23.43,1.9,80,0.74,0.77,0.42
5,BMZLDH_2017,1005,1,1,1,1,95,122,160,114.8,6.189,31.7,10.3,22.5,2.23,80,0.75,0.74,0.45
6,BMZLDH_2017,1006,1,1,2,1,90,118,158,112,5.999,38.7,11.7,25.27,2.07,90,0.77,0.77,0.45
7,BMZLDH_2017,1007,1,1,2,1,95,122,158,109.8,5.939,31.9,9.7,27.5,2.03,85,0.78,0.77,0.43
8,BMZLDH_2017,1008,1,1,2,1,82,112,158,120.5,6.894,36.1,12.7,28.87,2.13,85,0.79,0.8,0.48
9,BMZLDH_2017,1009,1,1,2,1,91,113,160,114.5,8.074,39,11.5,25.17,2,80,0.78,0.79,0.5
10,BMZLDH_2017,1010,1,1,2,1,85,110,156,110,7.73,45.6,12.7,26.83,2,75,0.76,0.78,0.46
11,BMZLDH_2017,1011,1,1,3,2,92,111,156,111.3,7.194,41.4,9.5,24.33,1.83,80,0.74,0.76,0.45
12,BMZLDH_2017,1012,1,1,3,2,92,113,158,112.3,7.522,40.6,10.2,24.5,1.77,85,0.79,0.79,0.38
13,BMZLDH_2017,1013,1,1,3,2,82,109,157,111.5,7.454,40.6,10.7,27,2.07,90,0.8,0.79,0.42
14,BMZLDH_2017,1014,1,1,3,2,92,111,158,107.8,8.351,43.6,9.8,24.73,1.93,90,0.8,0.8,0.44
15,BMZLDH_2017,1015,1,1,3,2,87,110,159,112.3,7.509,42.1,10.5,28,2.03,90,0.8,0.79,0.34
16,BMZLDH_2017,1016,1,1,4,2,90,111,157,117.2,7.702,39.7,10,24.8,1.9,80,0.82,0.8,0.43
17,BMZLDH_2017,1017,1,1,4,2,96,117,158,105.3,6.153,38.7,10,25.97,1.7,75,0.8,0.79,0.4
18,BMZLDH_2017,1018,1,1,4,2,87,111,157,113.8,7.468,39.3,12.3,29.17,1.9,90,0.8,0.78,0.4
19,BMZLDH_2017,1019,1,1,4,2,90,114,159,119.8,7.558,36.1,11.2,26,1.93,90,0.81,0.8,0.54
20,BMZLDH_2017,1020,1,1,4,2,90,112,159,111.8,7.667,42.1,10.7,25.67,2.1,90,0.82,0.82,0.55
21,BMZLDH_2017,1021,1,1,5,3,80,106,157,116.8,7.216,41.1,11,25.57,1.93,90,0.79,0.78,0.35
22,BMZLDH_2017,1022,1,1,5,3,87,113,159,118.3,8.079,39.2,10.7,30,2.23,85,0.81,0.79,0.44
23,BMZLDH_2017,1023,1,1,5,3,82,111,157,112.2,7.448,41.4,11.8,25.33,2.17,90,0.82,0.8,0.42
24,BMZLDH_2017,1024,1,1,5,3,87,109,157,115.8,7.376,43,10.5,27.67,2.17,80,0.8,0.78,0.37
25,BMZLDH_2017,1025,1,1,5,3,79,101,156,116.3,6.952,39.2,10.7,25,2,80,0.81,0.79,0.42
26,BMZLDH_2017,1026,1,1,6,3,87,113,159,125.5,8.023,43.8,10.5,28.83,2.37,85,0.8,0.8,0.6
27,BMZLDH_2017,1027,1,1,6,3,82,103,154,122.2,8.235,46.6,10.3,30.67,2.03,90,0.8,0.77,0.43
28,BMZLDH_2017,1028,1,1,6,3,77,97,153,117.5,8.082,44,11,27.67,1.83,85,0.81,0.8,0.35
29,BMZLDH_2017,1029,1,1,6,3,85,111,158,126.5,7.146,35.7,11.5,28.67,1.97,90,0.82,0.8,0.36
30,BMZLDH_2017,1030,1,1,6,3,78,102,156,117.7,7.642,39.3,10.3,28.6,2.03,90,0.8,0.79,0.36
31,BMZLDH_2017,1031,1,1,7,4,85,109,152,117.8,7.422,40,10.2,23.17,1.9,90,0.81,0.78,0.36
32,BMZLDH_2017,1032,1,1,7,4,88,111,154,121.2,6.638,42.8,11.2,27.17,1.93,70,0.81,0.8,0.44
33,BMZLDH_2017,1033,1,1,7,4,85,112,157,114.5,7.901,41.8,11.2,22.17,1.87,80,0.8,0.78,0.43
34,BMZLDH_2017,1034,1,1,7,4,92,115,157,108.5,6.833,37.2,10,24.9,1.9,75,0.8,0.79,0.44
35,BMZLDH_2017,1035,1,1,7,4,88,110,157,113.5,7.678,45.4,12.2,24.67,2.03,80,0.81,0.81,0.42
36,BMZLDH_2017,1036,1,1,8,4,92,116,158,119.7,7.977,42.3,8.7,31.67,2.17,90,0.81,0.79,0.54
37,BMZLDH_2017,1037,1,1,8,4,80,109,158,111.2,7.398,39,10.8,24,2.1,85,0.78,0.78,0.38
38,BMZLDH_2017,1038,1,1,8,4,88,113,161,116.5,7.265,37.4,10.5,26.83,2.2,85,0.83,0.81,0.5
39,BMZLDH_2017,1039,1,1,8,4,92,113,157,111.2,8.362,43.3,10.5,23.33,2.13,85,0.79,0.81,0.51
40,BMZLDH_2017,1040,1,1,8,4,90,117,160,119.2,7.107,42.9,11.5,30.97,2.2,85,0.81,0.81,0.49
41,BMZLDH_2017,1041,1,1,9,5,82,106,158,114.8,7.456,37.1,11.5,26,1.97,85,0.81,0.79,0.38
42,BMZLDH_2017,1042,1,1,9,5,95,118,160,106.7,7.745,37.1,10.3,21,2.13,80,0.8,0.8,0.54
43,BMZLDH_2017,1043,1,1,9,5,78,107,157,133.5,6.814,39.9,10.8,34.5,2.57,90,0.82,0.79,0.46
44,BMZLDH_2017,1044,1,1,9,5,95,123,163,120.8,6.109,33.2,11.2,24.9,1.97,90,0.81,0.8,0.47
45,BMZLDH_2017,1045,1,1,9,5,88,122,161,131.8,7.192,37.8,9.5,22.67,2.07,80,0.81,0.8,0.44
46,BMZLDH_2017,1046,1,1,10,5,82,111,156,116,7.684,39.7,10.7,26.9,1.93,80,0.79,0.8,0.4
47,BMZLDH_2017,1047,1,1,10,5,79,107,156,118.5,7.215,38.2,10,25.97,1.97,85,0.8,0.8,0.48
48,BMZLDH_2017,1048,1,1,10,5,82,112,157,125.3,7.117,39.7,11,21.87,2.03,85,0.81,0.79,0.43
49,BMZLDH_2017,1049,1,1,10,5,90,112,155,117,6.719,40.1,11,21.67,1.73,80,0.78,0.78,0.35
50,BMZLDH_2017,1050,1,1,10,5,87,111,155,118.3,7.071,37.9,11.2,26.67,1.97,90,0.81,0.79,0.41
51,BMZLDH_2017,1051,1,1,11,6,85,113,156,129.7,7.832,42.5,10.7,24.33,1.97,80,0.75,0.76,0.42
52,BMZLDH_2017,1052,1,1,11,6,91,118,160,123.7,7.636,41.4,11,29.67,2.07,85,0.81,0.79,0.47
53,BMZLDH_2017,1053,1,1,11,6,79,109,155,126.2,8.377,41.2,10.8,28.5,2.03,90,0.81,0.8,0.36
54,BMZLDH_2017,1054,1,1,11,6,95,115,157,106.5,7.725,38.8,9.2,24.17,1.83,85,0.82,0.81,0.54
55,BMZLDH_2017,1055,1,1,11,6,79,109,157,125.8,7.494,38.9,10.8,25,1.97,85,0.81,0.8,0.3
56,BMZLDH_2017,1056,1,1,12,6,90,117,161,134.7,8.209,35.5,10.7,27.17,2.1,85,0.81,0.78,0.47
57,BMZLDH_2017,1057,1,1,12,6,91,117,157,122.5,7.487,34.2,12,28.5,1.93,90,0.82,0.79,0.42
58,BMZLDH_2017,1058,1,1,12,6,85,108,157,127.2,7.598,39.4,9.8,22.83,2.07,80,0.82,0.8,0.5
59,BMZLDH_2017,1059,1,1,12,6,87,112,157,111.2,7.42,37.4,10.8,22.33,2.07,90,0.79,0.78,0.44
60,BMZLDH_2017,1060,1,1,12,6,82,109,157,117.8,7.886,43.5,11.8,29,2.03,90,0.81,0.81,0.45
61,BMZLDH_2017,1039,1,2,1,7,88,114,161,114.2,8.763,40.3,10.5,23.5,2.13,80,0.82,0.83,0.58
62,BMZLDH_2017,1024,1,2,1,7,85,110,158,118.3,7.822,37.6,12,26.83,1.97,75,0.8,0.8,0.6
63,BMZLDH_2017,1008,1,2,1,7,81,112,161,130,7.435,33.5,13,28.83,2.17,85,0.82,0.82,0.58
64,BMZLDH_2017,1038,1,2,1,7,88,116,161,124.5,6.742,36.5,11.5,28.67,2.2,80,0.81,0.8,0.49
65,BMZLDH_2017,1044,1,2,1,7,92,122,161,123.8,7.126,32.9,10.8,28,2.2,90,0.8,0.78,0.53
66,BMZLDH_2017,1032,1,2,2,7,85,109,156,124.7,6.939,41.1,12,25.67,2.03,75,0.79,0.8,0.49
67,BMZLDH_2017,1004,1,2,2,7,94,123,162,118.3,7.094,33.2,11.2,26,2.07,80,0.8,0.79,0.53
68,BMZLDH_2017,1022,1,2,2,7,84,112,155,124.3,7.572,39.6,11.7,28.47,2.2,90,0.81,0.78,0.38
69,BMZLDH_2017,1057,1,2,2,7,88,114,156,120.2,7.592,37,10.2,27.83,2.13,90,0.83,0.79,0.44
70,BMZLDH_2017,1012,1,2,2,7,83,113,157,108.8,8.007,40.4,9.8,24.83,1.9,80,0.78,0.79,0.35
71,BMZLDH_2017,1023,1,2,3,8,81,112,156,116.3,7.551,42.1,12.2,26.17,2,80,0.79,0.79,0.5
72,BMZLDH_2017,1025,1,2,3,8,79,100,156,110.8,7.191,40.5,10.5,26.4,2.1,75,0.82,0.8,0.41
73,BMZLDH_2017,1011,1,2,3,8,88,113,157,113.2,7.729,40.4,9.7,25.33,1.93,85,0.78,0.79,0.53
74,BMZLDH_2017,1056,1,2,3,8,91,118,161,126.8,7.893,33.6,10.2,26.73,2.1,90,0.82,0.8,0.49
75,BMZLDH_2017,1042,1,2,3,8,92,119,161,116.7,6.948,38.4,11,27,2.13,75,0.8,0.81,0.62
76,BMZLDH_2017,1016,1,2,4,8,88,112,158,115.8,7.902,40.6,11.2,30,2.07,80,0.84,0.82,0.5
77,BMZLDH_2017,1007,1,2,4,8,93,123,162,112.2,5.95,31.2,9.8,34.17,2.1,85,0.8,0.8,0.56
78,BMZLDH_2017,1035,1,2,4,8,88,109,157,110.8,8.065,46.2,11.2,27.33,2.17,85,0.83,0.82,0.61
79,BMZLDH_2017,1052,1,2,4,8,91,119,161,123.2,6.726,38.3,10.8,32,2.23,80,0.81,0.79,0.48
80,BMZLDH_2017,1029,1,2,4,8,81,110,157,128.3,6.504,34,12.7,31.17,2.3,90,0.84,0.8,0.51
81,BMZLDH_2017,1030,1,2,5,9,77,100,156,116,7.433,38.7,9.8,27.33,1.97,90,0.82,0.81,0.35
82,BMZLDH_2017,1055,1,2,5,9,85,111,155,123.2,7.262,39.4,9.2,25.33,1.93,85,0.8,0.8,0.49
83,BMZLDH_2017,1009,1,2,5,9,91,113,160,126,7.781,34.7,13.3,26.23,1.93,80,0.82,0.8,0.4
84,BMZLDH_2017,1043,1,2,5,9,78,107,156,123.5,6.875,41.8,12.8,25.67,2.17,85,0.79,0.79,0.43
85,BMZLDH_2017,1049,1,2,5,9,90,112,156,115.8,6.71,40.2,10.5,27.5,2.03,80,0.78,0.78,0.34
86,BMZLDH_2017,1060,1,2,6,9,82,111,156,108.7,7.448,43,10.7,24.17,1.77,80,0.78,0.78,0.43
87,BMZLDH_2017,1026,1,2,6,9,87,114,157,116,7.662,46.3,10.7,24.83,2.17,80,0.79,0.8,0.46
88,BMZLDH_2017,1015,1,2,6,9,88,110,156,107.2,7.715,46.8,10.8,25.07,2.2,80,0.78,0.77,0.33
89,BMZLDH_2017,1014,1,2,6,9,90,109,156,104.7,8.595,45.8,10.8,23.33,1.73,85,0.79,0.79,0.41
90,BMZLDH_2017,1040,1,2,6,9,88,120,158,112.7,7.716,47.1,10,25.17,2.07,80,0.78,0.8,0.51
91,BMZLDH_2017,1010,1,2,7,10,87,112,158,102.7,7.934,43.2,11.5,26.5,2.17,75,0.79,0.8,0.44
92,BMZLDH_2017,1028,1,2,7,10,78,98,155,118.2,7.439,45.7,10.8,28.83,1.8,80,0.79,0.78,0.34
93,BMZLDH_2017,1013,1,2,7,10,80,109,156,114.2,7.717,37.2,12.2,25.5,1.97,90,0.79,0.78,0.4
94,BMZLDH_2017,1021,1,2,7,10,82,109,157,114.2,7.701,42.2,10.2,26.83,2.07,80,0.8,0.8,0.48
95,BMZLDH_2017,1046,1,2,7,10,82,109,157,123.5,7.996,40.9,12.5,25,1.97,85,0.8,0.8,0.43
96,BMZLDH_2017,1005,1,2,8,10,94,122,162,116.8,7.243,33.8,9.8,24,2.07,85,0.79,0.79,0.56
97,BMZLDH_2017,1034,1,2,8,10,92,113,156,109.7,7.206,36.7,10,27.67,1.9,90,0.79,0.78,0.43
98,BMZLDH_2017,1002,1,2,8,10,95,122,161,118.5,8.07,36.7,10.2,23.5,1.97,80,0.83,0.82,0.57
99,BMZLDH_2017,1059,1,2,8,10,88,113,160,110.3,7.438,36.8,11,24.5,2,85,0.8,0.8,0.46
100,BMZLDH_2017,1031,1,2,8,10,85,106,156,118.2,7.023,40.5,10.2,22.9,1.77,90,0.8,0.79,0.36
